unit,section_name,section_number,section_type,river_mile,channel
23,Hatchery Riffle,1,permanent,1,LFC
24,Hatchery Riffle,1,permanent,1,LFC
25,Hatchery Riffle,1,permanent,1,LFC
19,Hatchery Riffle,1,permanent,1,LFC
26,Hatchery Ditch,2,permanent,1,LFC
28,Hatchery Ditch,3,permanent,1,LFC
33,Hatchery Ditch,2,permanent,1,LFC
29,Auditorium Riffle,4,permanent,1,LFC
30,Auditorium Riffle,4,permanent,1,LFC
31,Auditorium Riffle,4,permanent,1,LFC
32,Auditorium Riffle,4,permanent,1,LFC
55,Bedrock Riffle,5,permanent,2,LFC
56,Bedrock Riffle,5,permanent,2,LFC
96,Trailer Park Riffle,6,permanent,3,LFC
97,Trailer Park Riffle,6,permanent,3,LFC
98,Trailer Park Riffle,6,permanent,3,LFC
103,Matthews Riffle,7,permanent,3,LFC
104,Matthews Riffle,7,permanent,3,LFC
105,Matthews Riffle,7,permanent,3,LFC
119,Aleck Riffle,8,permanent,4,LFC
120,Aleck Riffle,8,permanent,4,LFC
169,Robinson Riffle,9,permanent,6,LFC
170,Robinson Riffle,9,permanent,6,LFC
171,Robinson Riffle,9,permanent,6,LFC
173,Robinson Riffle,9,permanent,6,LFC
174,Robinson Riffle,9,permanent,6,LFC
175,Robinson Riffle,9,permanent,6,LFC
185,Steep Riffle,10,permanent,7,LFC
189,Steep Riffle,10,permanent,7,LFC
215A,Eye Riffle,11,permanent,7,LFC
216,Eye Riffle,11,permanent,7,LFC
215B,Eye Riffle,11,permanent,7,LFC
217,Eye Riffle,11,permanent,7,LFC
210,Eye Riffle,11,permanent,7,LFC
221,Gateway Riffle,12,permanent,8,LFC
225,Gateway Riffle,12,permanent,8,LFC
226,Gateway Riffle,12,permanent,8,LFC
229,Gateway Riffle,12,permanent,8,LFC
228,Gateway Riffle,12,permanent,8,LFC
268,Vance Riffle,13,permanent,9,HFC
266,Vance Riffle,13,permanent,9,HFC
323A,G95,14,permanent,10,HFC
323B,G95,14,permanent,10,HFC
402,Kiester Riffle,15,permanent,13,HFC
403,Kiester Riffle,15,permanent,13,HFC
397,Kiester Riffle,15,permanent,12,HFC
408,Goose Riffle,16,permanent,13,HFC
424,Big Riffle,17,permanent,14,HFC
426,Big Riffle,17,permanent,14,HFC
441,McFarland,18,permanent,15,HFC
445,McFarland,18,permanent,15,HFC
450,McFarland,18,permanent,15,HFC
486,Gridley Riffle,19,permanent,18,HFC
487,Gridley Riffle,19,permanent,18,HFC
499,Junkyard Riffle,20,permanent,19,HFC
502,Junkyard Riffle,20,permanent,19,HFC
29A,NA,NA,random,1,LFC
27,NA,NA,random,1,LFC
172,NA,NA,random,6,LFC
31A,NA,NA,random,1,LFC
177,NA,NA,random,6,LFC
183,NA,NA,random,6,LFC
267,NA,NA,random,9,HFC
21,NA,NA,random,1,LFC
20,NA,NA,random,1,LFC
200,NA,NA,random,7,LFC
215,NA,NA,random,7,LFC
352,NA,NA,random,11,HFC
355,NA,NA,random,11,HFC
356,NA,NA,random,11,HFC
358,NA,NA,random,11,HFC
362,NA,NA,random,11,HFC
370,NA,NA,random,11,HFC
365,NA,NA,random,11,HFC
405,NA,NA,random,13,HFC
406,NA,NA,random,13,HFC
407,NA,NA,random,13,HFC
410,NA,NA,random,13,HFC
446,NA,NA,random,15,HFC
448,NA,NA,random,15,HFC
451,NA,NA,random,15,HFC
452,NA,NA,random,15,HFC
176,NA,NA,random,6,LFC
121,NA,NA,random,4,LFC
124,NA,NA,random,4,LFC
126,NA,NA,random,4,LFC
127,NA,NA,random,4,LFC
122,NA,NA,random,4,LFC
224,NA,NA,random,8,LFC
413,NA,NA,random,13,HFC
409,NA,NA,random,13,HFC
411,NA,NA,random,13,HFC
453,NA,NA,random,15,HFC
205,NA,NA,random,7,LFC
100,NA,NA,random,3,LFC
178,NA,NA,random,6,LFC
121A,NA,NA,random,4,LFC
54,NA,NA,random,2,LFC
165,NA,NA,random,6,LFC
192,NA,NA,random,7,LFC
191,NA,NA,random,7,LFC
297,NA,NA,random,10,HFC
306,NA,NA,random,10,HFC
299,NA,NA,random,10,HFC
329,NA,NA,random,10,HFC
335,NA,NA,random,11,HFC
331,NA,NA,random,10,HFC
330,NA,NA,random,10,HFC
334,NA,NA,random,11,HFC
102,NA,NA,random,3,LFC
108,NA,NA,random,4,LFC
197,NA,NA,random,7,LFC
207,NA,NA,random,7,LFC
233,NA,NA,random,8,LFC
236,NA,NA,random,8,LFC
269,NA,NA,random,9,HFC
270,NA,NA,random,9,HFC
271,NA,NA,random,9,HFC
273,NA,NA,random,9,HFC
274,NA,NA,random,9,HFC
276,NA,NA,random,9,HFC
278,NA,NA,random,9,HFC
282,NA,NA,random,9,HFC
284,NA,NA,random,9,HFC
288,NA,NA,random,9,HFC
296,NA,NA,random,10,HFC
303,NA,NA,random,10,HFC
304,NA,NA,random,10,HFC
309,NA,NA,random,10,HFC
310,NA,NA,random,10,HFC
166,NA,NA,random,6,LFC
179,NA,NA,random,6,LFC
22,NA,NA,random,1,LFC
46,NA,NA,random,1,LFC
39,NA,NA,random,1,LFC
42,NA,NA,random,1,LFC
59,NA,NA,random,2,LFC
1,NA,NA,random,1,LFC
5,NA,NA,random,1,LFC
10,NA,NA,random,1,LFC
8,NA,NA,random,1,LFC
35,NA,NA,random,1,LFC
34,NA,NA,random,1,LFC
38,NA,NA,random,1,LFC
6,NA,NA,random,1,LFC
7,NA,NA,random,1,LFC
9,NA,NA,random,1,LFC
51,NA,NA,random,2,LFC
52,NA,NA,random,2,LFC
449,NA,NA,random,15,HFC
412,NA,NA,random,13,HFC
180,NA,NA,random,6,LFC
125,NA,NA,random,4,LFC
484,NA,NA,random,18,HFC
485,NA,NA,random,18,HFC
388,NA,NA,random,12,HFC
328,NA,NA,random,10,HFC
364,NA,NA,random,11,HFC
367,NA,NA,random,11,HFC
361,NA,NA,random,11,HFC
454,NA,NA,random,15,HFC
123,NA,NA,random,4,LFC
193,NA,NA,random,7,LFC
337,NA,NA,random,11,HFC
198,NA,NA,random,7,LFC
199,NA,NA,random,7,LFC
208,NA,NA,random,7,LFC
241,NA,NA,random,8,LFC
275,NA,NA,random,9,HFC
283,NA,NA,random,9,HFC
295,NA,NA,random,10,HFC
305,NA,NA,random,10,HFC
311,NA,NA,random,10,HFC
37,NA,NA,random,1,LFC
12,NA,NA,random,1,LFC
11,NA,NA,random,1,LFC
50,NA,NA,random,2,LFC
483,NA,NA,random,18,HFC
308,NA,NA,random,10,HFC
272,NA,NA,random,9,HFC
290,NA,NA,random,9,HFC
387,NA,NA,random,12,HFC
336,NA,NA,random,11,HFC
213,NA,NA,random,7,LFC
237,NA,NA,random,8,LFC
36,NA,NA,random,1,LFC
359,NA,NA,random,11,HFC
289,NA,NA,random,9,HFC
294,NA,NA,random,10,HFC
500,NA,NA,random,19,HFC
107,NA,NA,random,4,LFC
106,NA,NA,random,4,LFC
227,NA,NA,random,8,LFC
HGSC,NA,NA,random,NA,NA
HPRL,NA,NA,random,NA,NA
CF,NA,NA,random,NA,NA
BRB,NA,NA,random,NA,NA
HTPSC,NA,NA,random,NA,NA
UHSC,NA,NA,random,NA,NA
SEC2,NA,NA,random,NA,NA
235,NA,NA,random,8,LFC
164,NA,NA,random,6,LFC
167,NA,NA,random,6,LFC
161,NA,NA,random,5,LFC
162,NA,NA,random,5,LFC
351,NA,NA,random,11,HFC
368,NA,NA,random,11,HFC
163,NA,NA,random,5,LFC
99,NA,NA,random,3,LFC
RBUB,NA,NA,random,NA,NA
118,NA,NA,random,4,LFC
2,NA,NA,NA,1,LFC
4,NA,NA,NA,1,LFC
13,NA,NA,NA,1,LFC
14,NA,NA,NA,1,LFC
16,NA,NA,NA,1,LFC
17,NA,NA,NA,1,LFC
18,NA,NA,NA,1,LFC
30A,NA,NA,NA,1,LFC
41,NA,NA,NA,1,LFC
43,NA,NA,NA,1,LFC
45,NA,NA,NA,1,LFC
47,NA,NA,NA,1,LFC
49,NA,NA,NA,1,LFC
53,NA,NA,NA,2,LFC
57,NA,NA,NA,2,LFC
58,NA,NA,NA,2,LFC
61,NA,NA,NA,2,LFC
62,NA,NA,NA,2,LFC
63,NA,NA,NA,2,LFC
65,NA,NA,NA,2,LFC
66,NA,NA,NA,2,LFC
67,NA,NA,NA,2,LFC
69,NA,NA,NA,2,LFC
70,NA,NA,NA,2,LFC
130,NA,NA,NA,4,LFC
133,NA,NA,NA,4,LFC
137,NA,NA,NA,5,LFC
141,NA,NA,NA,5,LFC
145,NA,NA,NA,5,LFC
149,NA,NA,NA,5,LFC
153,NA,NA,NA,5,LFC
157,NA,NA,NA,5,LFC
184,NA,NA,NA,6,LFC
188,NA,NA,NA,7,LFC
196,NA,NA,NA,7,LFC
203,NA,NA,NA,7,LFC
211,NA,NA,NA,7,LFC
220,NA,NA,NA,8,LFC
232,NA,NA,NA,8,LFC
240,NA,NA,NA,8,LFC
244,NA,NA,NA,8,LFC
248,NA,NA,NA,9,HFC
252,NA,NA,NA,9,HFC
255,NA,NA,NA,9,HFC
259,NA,NA,NA,9,HFC
263,NA,NA,NA,9,HFC
279,NA,NA,NA,9,HFC
286,NA,NA,NA,9,HFC
298,NA,NA,NA,10,HFC
302,NA,NA,NA,10,HFC
314,NA,NA,NA,10,HFC
318,NA,NA,NA,10,HFC
322,NA,NA,NA,10,HFC
324,NA,NA,NA,10,HFC
333,NA,NA,NA,11,HFC
341,NA,NA,NA,11,HFC
345,NA,NA,NA,11,HFC
349,NA,NA,NA,11,HFC
353,NA,NA,NA,11,HFC
357,NA,NA,NA,11,HFC
369,NA,NA,NA,11,HFC
373,NA,NA,NA,12,HFC
377,NA,NA,NA,12,HFC
381,NA,NA,NA,12,HFC
385,NA,NA,NA,12,HFC
389,NA,NA,NA,12,HFC
393,NA,NA,NA,12,HFC
401,NA,NA,NA,13,HFC
414,NA,NA,NA,13,HFC
418,NA,NA,NA,13,HFC
422,NA,NA,NA,13,HFC
430,NA,NA,NA,14,HFC
434,NA,NA,NA,14,HFC
438,NA,NA,NA,15,HFC
442,NA,NA,NA,15,HFC
458,NA,NA,NA,16,HFC
462,NA,NA,NA,16,HFC
466,NA,NA,NA,16,HFC
470,NA,NA,NA,17,HFC
474,NA,NA,NA,17,HFC
478,NA,NA,NA,18,HFC
482,NA,NA,NA,18,HFC
490,NA,NA,NA,18,HFC
494,NA,NA,NA,18,HFC
498,NA,NA,NA,19,HFC
506,NA,NA,NA,19,HFC
510,NA,NA,NA,19,HFC
514,NA,NA,NA,20,HFC
518,NA,NA,NA,20,HFC
522,NA,NA,NA,20,HFC
526,NA,NA,NA,21,HFC
530,NA,NA,NA,21,HFC
534,NA,NA,NA,21,HFC
538,NA,NA,NA,21,HFC
542,NA,NA,NA,21,HFC
MOES,NA,NA,NA,1,LFC
71,NA,NA,NA,2,LFC
73,NA,NA,NA,2,LFC
74,NA,NA,NA,2,LFC
75,NA,NA,NA,2,LFC
77,NA,NA,NA,2,LFC
78,NA,NA,NA,2,LFC
79,NA,NA,NA,2,LFC
81,NA,NA,NA,3,LFC
82,NA,NA,NA,3,LFC
83,NA,NA,NA,3,LFC
85,NA,NA,NA,3,LFC
86,NA,NA,NA,3,LFC
87,NA,NA,NA,3,LFC
89,NA,NA,NA,3,LFC
90,NA,NA,NA,3,LFC
91,NA,NA,NA,3,LFC
93,NA,NA,NA,3,LFC
94,NA,NA,NA,3,LFC
95,NA,NA,NA,3,LFC
101,NA,NA,NA,3,LFC
109,NA,NA,NA,4,LFC
110,NA,NA,NA,4,LFC
112,NA,NA,NA,4,LFC
113,NA,NA,NA,4,LFC
114,NA,NA,NA,4,LFC
116,NA,NA,NA,4,LFC
117,NA,NA,NA,4,LFC
128,NA,NA,NA,4,LFC
129,NA,NA,NA,4,LFC
131,NA,NA,NA,4,LFC
132,NA,NA,NA,4,LFC
134,NA,NA,NA,4,LFC
135,NA,NA,NA,4,LFC
136,NA,NA,NA,4,LFC
138,NA,NA,NA,5,LFC
139,NA,NA,NA,5,LFC
140,NA,NA,NA,5,LFC
142,NA,NA,NA,5,LFC
143,NA,NA,NA,5,LFC
144,NA,NA,NA,5,LFC
146,NA,NA,NA,5,LFC
147,NA,NA,NA,5,LFC
148,NA,NA,NA,5,LFC
150,NA,NA,NA,5,LFC
151,NA,NA,NA,5,LFC
152,NA,NA,NA,5,LFC
154,NA,NA,NA,5,LFC
155,NA,NA,NA,5,LFC
156,NA,NA,NA,5,LFC
158,NA,NA,NA,5,LFC
159,NA,NA,NA,5,LFC
160,NA,NA,NA,5,LFC
168,NA,NA,NA,6,LFC
181,NA,NA,NA,6,LFC
182,NA,NA,NA,6,LFC
186,NA,NA,NA,7,LFC
187,NA,NA,NA,7,LFC
190,NA,NA,NA,7,LFC
194,NA,NA,NA,7,LFC
195,NA,NA,NA,7,LFC
201,NA,NA,NA,7,LFC
202,NA,NA,NA,7,LFC
204,NA,NA,NA,7,LFC
206,NA,NA,NA,7,LFC
209,NA,NA,NA,7,LFC
212,NA,NA,NA,7,LFC
214,NA,NA,NA,7,LFC
218,NA,NA,NA,8,LFC
219,NA,NA,NA,8,LFC
222,NA,NA,NA,8,LFC
223,NA,NA,NA,8,LFC
230,NA,NA,NA,8,LFC
231,NA,NA,NA,8,LFC
234,NA,NA,NA,8,LFC
238,NA,NA,NA,8,LFC
239,NA,NA,NA,8,LFC
242,NA,NA,NA,8,LFC
243,NA,NA,NA,8,LFC
245,NA,NA,NA,8,LFC
246,NA,NA,NA,8,LFC
247,NA,NA,NA,8,LFC
249,NA,NA,NA,9,HFC
250,NA,NA,NA,9,HFC
251,NA,NA,NA,9,HFC
253,NA,NA,NA,9,HFC
254,NA,NA,NA,9,HFC
256,NA,NA,NA,9,HFC
257,NA,NA,NA,9,HFC
258,NA,NA,NA,9,HFC
260,NA,NA,NA,9,HFC
261,NA,NA,NA,9,HFC
262,NA,NA,NA,9,HFC
264,NA,NA,NA,9,HFC
265,NA,NA,NA,9,HFC
277,NA,NA,NA,9,HFC
280,NA,NA,NA,9,HFC
281,NA,NA,NA,9,HFC
285,NA,NA,NA,9,HFC
287,NA,NA,NA,9,HFC
291,NA,NA,NA,10,HFC
292,NA,NA,NA,10,HFC
293,NA,NA,NA,10,HFC
300,NA,NA,NA,10,HFC
301,NA,NA,NA,10,HFC
307,NA,NA,NA,10,HFC
312,NA,NA,NA,10,HFC
313,NA,NA,NA,10,HFC
315,NA,NA,NA,10,HFC
316,NA,NA,NA,10,HFC
317,NA,NA,NA,10,HFC
319,NA,NA,NA,10,HFC
320,NA,NA,NA,10,HFC
321,NA,NA,NA,10,HFC
323,NA,NA,NA,10,HFC
325,NA,NA,NA,10,HFC
326,NA,NA,NA,10,HFC
327,NA,NA,NA,10,HFC
332,NA,NA,NA,11,HFC
338,NA,NA,NA,11,HFC
339,NA,NA,NA,11,HFC
340,NA,NA,NA,11,HFC
342,NA,NA,NA,11,HFC
343,NA,NA,NA,11,HFC
344,NA,NA,NA,11,HFC
346,NA,NA,NA,11,HFC
347,NA,NA,NA,11,HFC
348,NA,NA,NA,11,HFC
350,NA,NA,NA,11,HFC
354,NA,NA,NA,11,HFC
360,NA,NA,NA,11,HFC
363,NA,NA,NA,11,HFC
366,NA,NA,NA,11,HFC
371,NA,NA,NA,12,HFC
372,NA,NA,NA,12,HFC
374,NA,NA,NA,12,HFC
375,NA,NA,NA,12,HFC
376,NA,NA,NA,12,HFC
378,NA,NA,NA,12,HFC
379,NA,NA,NA,12,HFC
380,NA,NA,NA,12,HFC
382,NA,NA,NA,12,HFC
383,NA,NA,NA,12,HFC
384,NA,NA,NA,12,HFC
386,NA,NA,NA,12,HFC
390,NA,NA,NA,12,HFC
391,NA,NA,NA,12,HFC
392,NA,NA,NA,12,HFC
394,NA,NA,NA,12,HFC
395,NA,NA,NA,12,HFC
396,NA,NA,NA,12,HFC
398,NA,NA,NA,12,HFC
399,NA,NA,NA,12,HFC
400,NA,NA,NA,12,HFC
404,NA,NA,NA,13,HFC
415,NA,NA,NA,13,HFC
416,NA,NA,NA,13,HFC
417,NA,NA,NA,13,HFC
419,NA,NA,NA,13,HFC
420,NA,NA,NA,13,HFC
421,NA,NA,NA,13,HFC
423,NA,NA,NA,13,HFC
425,NA,NA,NA,14,HFC
427,NA,NA,NA,14,HFC
428,NA,NA,NA,14,HFC
429,NA,NA,NA,14,HFC
431,NA,NA,NA,14,HFC
432,NA,NA,NA,14,HFC
433,NA,NA,NA,14,HFC
435,NA,NA,NA,14,HFC
436,NA,NA,NA,15,HFC
437,NA,NA,NA,15,HFC
439,NA,NA,NA,15,HFC
440,NA,NA,NA,15,HFC
443,NA,NA,NA,15,HFC
444,NA,NA,NA,15,HFC
447,NA,NA,NA,15,HFC
455,NA,NA,NA,15,HFC
456,NA,NA,NA,15,HFC
457,NA,NA,NA,15,HFC
459,NA,NA,NA,16,HFC
460,NA,NA,NA,16,HFC
461,NA,NA,NA,16,HFC
463,NA,NA,NA,16,HFC
464,NA,NA,NA,16,HFC
465,NA,NA,NA,16,HFC
467,NA,NA,NA,17,HFC
468,NA,NA,NA,17,HFC
469,NA,NA,NA,17,HFC
471,NA,NA,NA,17,HFC
472,NA,NA,NA,17,HFC
473,NA,NA,NA,17,HFC
475,NA,NA,NA,17,HFC
476,NA,NA,NA,18,HFC
477,NA,NA,NA,18,HFC
479,NA,NA,NA,18,HFC
480,NA,NA,NA,18,HFC
481,NA,NA,NA,18,HFC
488,NA,NA,NA,18,HFC
489,NA,NA,NA,18,HFC
491,NA,NA,NA,18,HFC
492,NA,NA,NA,18,HFC
493,NA,NA,NA,18,HFC
495,NA,NA,NA,18,HFC
496,NA,NA,NA,19,HFC
497,NA,NA,NA,19,HFC
501,NA,NA,NA,19,HFC
503,NA,NA,NA,19,HFC
504,NA,NA,NA,19,HFC
505,NA,NA,NA,19,HFC
507,NA,NA,NA,19,HFC
508,NA,NA,NA,19,HFC
509,NA,NA,NA,19,HFC
511,NA,NA,NA,20,HFC
512,NA,NA,NA,20,HFC
513,NA,NA,NA,20,HFC
515,NA,NA,NA,20,HFC
516,NA,NA,NA,20,HFC
517,NA,NA,NA,20,HFC
519,NA,NA,NA,20,HFC
520,NA,NA,NA,20,HFC
521,NA,NA,NA,20,HFC
523,NA,NA,NA,20,HFC
524,NA,NA,NA,20,HFC
525,NA,NA,NA,20,HFC
527,NA,NA,NA,21,HFC
528,NA,NA,NA,21,HFC
529,NA,NA,NA,21,HFC
531,NA,NA,NA,21,HFC
532,NA,NA,NA,21,HFC
533,NA,NA,NA,21,HFC
535,NA,NA,NA,21,HFC
536,NA,NA,NA,21,HFC
537,NA,NA,NA,21,HFC
539,NA,NA,NA,21,HFC
540,NA,NA,NA,21,HFC
541,NA,NA,NA,21,HFC
3,NA,NA,NA,1,LFC
15,NA,NA,NA,1,LFC
40,NA,NA,NA,1,LFC
44,NA,NA,NA,1,LFC
48,NA,NA,NA,1,LFC
60,NA,NA,NA,2,LFC
64,NA,NA,NA,2,LFC
68,NA,NA,NA,2,LFC
72,NA,NA,NA,2,LFC
76,NA,NA,NA,2,LFC
80,NA,NA,NA,3,LFC
84,NA,NA,NA,3,LFC
88,NA,NA,NA,3,LFC
92,NA,NA,NA,3,LFC
111,NA,NA,NA,4,LFC
115,NA,NA,NA,4,LFC
